http://yong321.freeshell.org/computer/oraclebin.html

Oracle Executables

This table lists executable programs in $ORACLE_HOME/bin (or %ORACLE_HOME%\bin on Windows) for Oracle Enterprise Edition, including shell scripts, Windows .bat files but excluding Windows DLLs or any that can't execute directly. It's not a complete list since what programs are in that directory depends on what options I chose at the time of software installation. I'm doing my best to give descriptions about each program and add some comments I consider useful or merely interesting. Many of them show Usage by typing the program name, or the name followed by some garbage argument, or -h, or sometimes help=y. "Not in 9i" means not in 9i and up (i.e. only in 8i). Files of 0 in size are ignored, such as tnnfg, trcldr (not any more in 12.1.0.2), plus those whose names end with 0 or O.

[2014-09 Update] Added 12.1.0.2 new binaries
[2013-09 Update] Added 12.1.0.1 new binaries
[2011-11 Update] Added 11.2.0.3 new binaries
[2010-01,2011-02 Update] 11g and up binaries are in separate tables: 11g

Legend 
`: Only exists on UNIX
*: Only exists on Windows
Program	Name	Notes
dbsnmpj*	Database Intelligent (SNMP) Agent. Not in 10g	
dbsnmpwd.bat	Not in 10g	
dbstart`	Database Startup Script	
dbua`		
dbv	Datafile Verification	See Oracle Utilities
debugproxy		Not in 10g
demobld`		Not in 10g
demodrop`		Not in 10g
deploync	Deploy NComp	
dgmgrl		Data Guard Manager
dropjava		
dumpsga`		
dsml2ldif*		XML Parser utility to generate LDAP ldif files
e2eme		10g
echodo`		In shell script, echo the command followed by run it
ela		10g
emagent, emagtm, emca, emca.bat, emctl.bat, emdctl, emtgtctl, emwd.bat		10g, EM-related
encaps*		Not in 10g
encsvc*	Oracle SNMP Peer Encapsulator service	
esm	Enterprise Security Manager	Not in 10g
exp	Export	See Oracle Utilities
expdp	Data Pump Export	10g
extjob		10g
extjobo		10g
extractlib`		
extproc	External Procedure	
extusrupgrade		Upgrade externally authenticated SSL users. 10gR2
fmputl`	File Mapping Utility	
fmputlhp`		
gatekeeper		Not in 9i
genagtsh`		
genautab`		Not in 9i
genclntsh`	Generate Client Shared Libraries	
genclntst`		
genezi	Generate EZ Instantclisent?	Instant Client (i.e. no sqlplus) from 10.2.0.3 up can run LD_LIBRARY_PATH=$ORACLE_HOME/lib genezi -v to get client version. Works on Windows too if %ORACLE_HOME% is set. Available in regular client install but useful in Instant Client. (Ref: Note:818454.1)
genksms`		Generate ksms.s, the assembly language source file listing contents of SGA fixed region. E.g., .set kcrfal_,sgabeg+19072 says kcrfl (redo allocation) structure is stored in the fixed region, 19072 bytes from the beginning of SGA. (J.Morle Scaling Oracle8i, pp.260-1)
gennfgt`		
gennttab`		
genoccish`		
gensyslib`		
helpins	SQL*Plus Help Installation	Beginning with Oracle8, only Help for SQL*Plus, not SQL, is installed.
hsalloci	Heterogeneous Agent (Server) with Driver for Oracle using OCI	
hsdepxa	Heterogeneous Agent (Server) with XA compliant Distributed External Procedure driver	
hsodbc	Heterogeneous Agent (Server) ODBC driver	
hsolefs*	Heterogeneous Agent (Server) OLE driver	
hsolesql*	Heterogeneous Agent (Server) OLE driver	
hsots	Heterogeneous Agent (Server) with XA compliant OTS driver	
idl2ir	Interface Definition Language to Interface Repository converter	Not in 9i
i*.flt*	various Graphic Import Filters	To find out, copy them to another filename with EXE as filename extension and look at their properties in Windows Explorer. They're all from Stellent, Inc.
imp	Import utility	See Oracle Utilities
impdp	Data Pump Import	10g
irep	Interface Repository	Not in 9i
isqlplusctl, isqlplussvc*	iSqlplus Control or Service	10g only. In 9i, you simply uncomment the line in oracle_apache.conf and start Apache. In 10g, you have to run isqlplusctl start to start the J2EE process (Windows service).
java2idl	Java to Interface Definition Language converter (not in 9i)	
java2iiop	Java to Internet Inter-Orb Protocol converter (not in 9i)	
java2rmi_iiop`	Java to Remote Method Invocation Internet Inter-Orb Protocol converter (not in 9i)	
jpub	JPublisher	Not in 10g
kfed	Kernel Files (metadata) Editor	Read ASM header e.g.: kfed read /dev/oracleasm/disks/VOL1. Type kfed -h for help. Also see below for kfod. Ref: 1485597.1.
kfod	Kernel Files OSM Disk (or "OSM Discovery utility" from oraInventory/logs/installActions.log or make output)	10g. Probably should be called ASM Disk Discovery utility. Note:359266.1 and Bug:4531822 have a little more info. Miladin Modrakovic has info about both kfod and kfed (Kernel File EDitor); kfed can be built per Note:553319.1. Ref: 1485597.1.
kgmgr`		Forum:486682.995: "a proprietary utility used by several of our client products"
kgpmon`		
launch*	Program Launcher	E.g., on Windows, Oracle Net Assistant is not started by netasst program, which doesn't exist; instead it's launched by: %ORACLE_HOME%\bin\launch.exe "%ORACLE_HOME%\network\tools" netasst.cl. There're many other .cl files scattered around which basically call jrew somejarfile.
launchem*	EM Launcher	Not in 10g
lbuilder	Locale Builder	Link in 10g to $ORACLE_HOME/nls/lbuilder/lbuilder; $ORACLE_HOME/ocommon/nls/lbuilder/lbuilder before 10g
lcsscan		10g
ldapadd		See Oracle Internet Directory Administrator's Guide, Chapter "Managing Directory Entries"
ldapaddmt		see above
ldapbind		see above
ldapcompare		see above
ldapdelete		see above
ldapmoddn		see above
ldapmodify		see above
ldapmodifymt		see above
ldapsearch		see above
ldifmigrator	OID Migration tool	9iUNIX or 10g. Migrates data from application-specific repositories into Oracle Internet Directory.
ldifwrite		See Oracle Internet Directory Administrator's Guide, Appendix A "Syntax for LDIF and Command Line Tools". Not in 10g
lmsgen	NLS Binary Message File Generation	Used to generate .msb files like oraus.msb
loadjava		To load java classes into the database
loadpsp		
localconfig		10g
locserv		
lsnodes	List Nodes	lists all nodes or a specific node in a RAC configuration if RAC is installed (10g or conditionally installed in 9i)
lsnrctl	TNS Listener Control	Launches tnslsnr process. See tnslsnr below. Be careful when you type lsnrctl stop (or reload) on client side, unless DBA has set password on the server side (see Item 15 on my Idiosyncrasies page).
lxchknlb`		
lxegen	NLS Calendar	
lxinst	NLS Data Installation	
mapsga`		
maxmem`	Maximum Memory for a process	Oracle process virtual memory size is limited by the smaller of maxmem and ulimit -m. Windows doesn't have this utility simply because a process on Windows can potentially use all memory minus kernel non-paged pool.
mergelib`		Not in 9i
mig	Oracle Migration/Upgrading	Not in 10g. 9i documentation says mig "converts the data dictionary and structures of an Oracle7 database into Oracle9i format". 10g doesn't support direct upgrade from Oracle7 so it stops shipping this tool.
migprep	Migration/Upgrading Preparation	Not in 10g. See above comments.
mkstore`, mkstore.bat*	Oracle Secret Store Tool	10g. Used to create a wallet
modifyprops*		Not in 9i
NAEGEN*	Diffie Hellman Parameter Generation	Not in 10g
namesctl	Oracle Names Server Control	Not in 10g
ncomp	Native Compiler	
netasst`	Network Assistant	See launch above for how to start it on Windows (Not in 9i)
netca	Net Configuration Assistant	9iUNIX or 10g
netca_deinst	Net Configuration Assistant Deinstall	10g
netlaunch`		
netmgr`		
nid	DB New ID	Change DBID so a database cloned using the traditional method (instead of DUPLICATEd by RMAN) can register with the same RMAN catalog as the source DB. The syntax is nid target=sys/syspassword. (It's not nid target="sys/syspassword as sysdba" even if you need as sysdba for sqlplus). After running nid, you have to open resetlogs, and database resetlogs time and v$thread.enable_time will both be updated.
nmb, nmcbufp, nmei, nmelproc, nmeo, nmesrvc, nmesrvcops, nmetm, nmo, nmocat, nmuct, nmupm		10g. "The nmo executable is responsible for authentication for the Agent installed with DB Control." (812054.1). "[nmb and nmo are] Used for Oracle 10g Grid Control agent to collect statistics on the target server and should not be touched" (461144.1)
nmudg		Not in 10g
nmumigrate (8i), nmumigr8 (9i)	Oracle Data Gatherer or DG Cartridge Migration	Not in 10g
oadj		Not in 9i
oadutil	Object Activation Daemon Utility	In Discoverer, type oadutil list to check services registered with OAD (not in 9i)
ociconv`	OCI Conversion	
ocm		Not in 10g
ocm_oratclsh`		Not in 10g
ocopy*	Oracle file copy program	Allegedly the only tool you should use to copy open datafiles. There's no difference between filesystem files copied by this and by DOS copy command. But if you use raw "files" (raw partitions used as Oracle datafiles), ocopy (or RMAN) has to be used.
ocrcheck, ocrconfig, ocrdump	Oracle Cluster Registry Check, Config and Dump utilities	10g. Run ocrcheck as root to do logical corruption check. Run ocrdump as root to get much more (perhaps all) info from OCR. Ocrconfig can only be run as root.
ocssd		10g
odisrv		Not in 10g
odisrvreg		Not in 10g
odma`		Not in 9i
odpreg		10g
oemapp		
oemautil.bat*	Oracle Intelligent Agent	
oemctl.bat*		
oemevent	Oracle Intelligent Agent	
oemPingOmsInternal.bat*		
oerr`	Oracle Error	See my freeware Windowsoerr
oidadmin`	Oracle Internet Directory Admin	On Windows, you launch Oracle Directory Manager (a jrew application) in Integrated Management Tools program group.
oidca		10g
oidpasswd		
oidprovtool	OID Provisioning Tool	9i UNIX or 10g. Used to create a subscription profile for OID subscribers such as Portal.
oidreconcile		
ojspc	Oracle JSP Compiler	Not in 10g
ojvmjava		9i UNIX or 10g
okdstry	Kerberos utility	
okinit	Kerberos utility	
oklist	Kerberos utility	
olsadmintool		10g
olsoidsync		10g
onrsd	Oracle Names client cache	Not in 10g
onsctl		10g
oo4ocodewiz*	Oracle Objects for OLE Code Wizard for stored procedures	
operfcfg*	Oracle Perfmon Config	
oracg	Oracle Class Generator	XML related. Deprecated in 10g and replaced by orajaxb in 11.2.0.3
oracle	Oracle RDBMS Kernel Executable	On UNIX, if dedicated configuration, every client process such as sqlplus or Toad, connects to tnslsnr, which fork()'s and then exec()'s oracle kernel program, $ORACLE_HOME/bin/oracle. The oracle process thus created is called a server process, or a shadow process to emphasize the client-server two-task nature. This server process is renamed to oracleSID (DESCRIPTION=(LOCAL=... for easy identification and troubleshooting. But its program (process text) is still this oracle binary. You should never directly run this binary; or you may get ORA-600 [12235] (see Note:33174.1; true for pre-11g). Oracle does not recommend changing the process priority. But some tests conclude it may improve DBWn performance if its priority is increased. You should also avoid stripping the oracle binary or you'll lose symbol information in trace files. But you can certainly run nm on it to get symbols such as sgabeg in this file. You can find all undocumented SQL hints by running strings on it, but 11g provides v$sql_hint view.
On Windows, there's always only one oracle.exe process for one instance. Each server "process" is just a Windows thread inside this process. If you have multiple Oracle instances running in Windows, you can identify the process for a specific instance with tools such as tlist. Oracle supports changing process priority on Windows.

OracleAdNetConnect*	OracleAdNetConnect MFC Application	
OracleAdNetTest*		
oradim*		Used to create a Windows service named OracleServiceSID
oradism`	Oracle Dynamic Intimate Shared Memory	Used on Solaris to configure Dynamic ISM, so as to get the benefit of shared page table between processes while allowing for SGA to be not completely locked in physical memory
oraenv`		Setup Oracle Environment; run as . oraenv and pass SID to it
orajaxb	Oracle Java Architecture for XML Binding	10g. XML JAXB Class Generator. Replacing oracg in 9i. Ref
orakill*		Usage: orakill instance_name v$process.spid. Used to kill a specific thread inside oracle.exe process. Apparently orakill does a little more than just killing the thread because using a non-Oracle tool such as Sysinternals's Process Explorer to kill a thread in oracle.exe doesn't always make a hanging session and its lock go away; you may have to manually run oradebug wakeup 1 to wake up pmon (which should clear the lock and v$session / v$process, but the client app may still hang). If you can't run orakill for any reason, use a tool like Process Explorer, followed by manual pmon wakeup.
orapipe		In 10g. Read Oracle XML Developer's Kit Programmer's Guide, Chapter "Pipeline Definition Language for Java"
orapki`, orapki.bat*	Oracle Public Key Infrastructure utility	In 10g. Read Oracle Database Advanced Security Administrator's Guide, Chapter "Configuring Secure Sockets Layer Authentication"
orapwd	Oracle Password utility	Used to create a password file for SYSDBA and SYSOPER connection. On Windows, you can also use oradim as a second choice (you have to delete and recreate if the password already exists).
orastack*	Oracle Stack modification	Used to resize the stack of an Oracle executable file such as oracle.exe, tnslsnr.exe (one way of preventing ORA-12500). Type the command at DOS to see an excellent description. (Not equivalent to pstack available on some UNIXes used to dump stack trace of a running process, but more like Solaris command ppgsz -o stack=... except it works on file not process)
oratclsh	Oracle TCL Shell	TCL programming language shell for Oracle. In spite of Oracle's advocacy, few people actually used it and now it's silently deprecated by Oracle, probably in favor of Perl. One trivial usage is to retrieve error messages on any OS (see examples here). Extensive use can be found in J. Morle's Scaling Oracle8i. Not in 10g Windows and not working in 10g Linux/UNIX.
oraxml		
oraxsl		
osagent*	Visibroker OS Agent	Type osagent -? (or -h) to see Usage (not in 9i)
osdbagrp`	OS DBA Group	Returns DBA group name
osfind*		Visibroker utility to find OS agents (not in 9i)
osh`	Operator (or Oracle?) Shell	Some old versions of oraenv call this. Shell limits may be less if run under osh.
otrccol	Oracle Trace Collection	See Oracle Designing and Tuning for Performance, Chapter "Using Oracle Trace". Not in 10g since Oracle Trace is deprecated.
otrccref		see above
otrcfmt		see above
otrcrep		see above
ott		
ott8		Not in 10g
owhat`	Oracle what	Runs UNIX what command on programs listed in arguments to find patches; doesn't work well; suggest you run what directly. Not in 10g
owm`	Oracle Wallet Manager	Windows has owm.dll and owm.cl, but not owm.exe or .bat
pagntsrv*		Not in 10g
PARDeploy	Provisioning Archive Deployment	10g. Ref
passwdconvert		Not in 10g
printIOR*		Not in 9i
proc	Proc*C/C++ compiler	
procob, procob18, procob18_32, procob32		Not in 10g
procui*		Not in 10g
profor`		Not in 10g
proxyserv`		Not in 10g
publish		Not in 9i
pupbld	Product User Profile Build	Creates Product User Profile tables for SQL*Plus
purgeDeploymentLibrary	Purge Deployment Library	Ref
rawutl	Raw disk Utility	10g. rawutl -s /dev/xxx to view size
relink`		Not in 10g
remove		Not in 9i
remtool`		Not in 10g
repo_mig		10g
rman	Recover Manager	
rtsora`, rtsora32`		Not in 10g
runInstaller`		Not in 10g. 10g Windows uses %oracle_home%\oui\bin\setup.exe.
runclass	Run Class	EM related. "Run the main method of class in the specified webapp"
sbttest`	SBT (Serial Backup Tape) Test	Note:942418.1
schema		XML schema validation
schemasync		Not in 10g
sclsspawn		10g
searchctl		10g
selecthome.bat* and others		10g only. 10g doesn't have Home Selector in Start menu. Instead launch OUI to select Home. OUI runs selecthome.bat internally.
sess_sh		Not in 9i
setlinks*		You can use setlinks /d to show Windows devices. Not in 9i
sqlj	SQLJ engine	Not in 10g (SqlJ is deprecated)
sqlldr	SQL*Loader	See Oracle Utilities
sqlplus	SQL*Plus	10g has two new command line options: -C sets SQL*Plus compatibility version; -L attempts log on just once.
sqlplusw*	SQL*Plus for Windows	Not in 11g
statusnc	Status of Native Compiler	Probably checks sys.jaccelerator$status. Ref: Note:4889370
svrmgrl	Server Manager	Not in 9i. Use sqlplus '/ as sysdba' instead (substitute " for ' in Windows)
symfind`	Symbol Finder.	Documented in 10g Admin's Reference for UNIX.
sysresv`	System Resources Verifier	Shows (or removes) IPC resources: shared memory segments and semaphores. Safer than ipcrm in removing the resources. By default, it shows the resources for the instance identified by environment variable $ORACLE_SID. You can pass -l SID to override it.
tdvapp*		Not in 10g
tkprof		Used to get more meaningful output from a session trace file
tnslsnr	TNS listener	You run this program from lsnrctl. Only run this program directly, as root, if you start listener on a port below 1024 on UNIX; even in this case, stopping the listener can be done with lsnrctl.
tnsping	TNS Ping	Note you can have two arguments, the second being the number of times the listener is pinged.
transx	XML Translator	See XML Developer's Kit Programmer's Guide, Chapter "TransX Utility". Ref: Note:394803.1.
trcasst	SQL*Net Trace Assistant	Used to analyze SQL*Net trace file
trcsess	Session Trace	In 10g. See Database Performance Tuning Guide, Chapter "Using Application Tracing Tools". It merges multiple SQL trace files for a session to be used by tkprof. Useful in Shared Server session trace. Before 10g, try OraSRP.
trcfmt`		See otrcfmt. Not in 10g
trcroute`	Trace Route	Hopefully it can offer more insight than tnsping into a failed Oracle Net connection.
tstshm`	Test Shared Memory	Note:50364.1
umu	User Migration Utility	Migrate database users to a directory. Documentation, Note:247744.1.
unzip		decompressing tool
vbdebug	VisiDebugger	Not in 9i
vbj		Not in 9i
vbj_convert		Not in 9i
vbjc		Not in 9i
vdoshell*		Not in 10g
vipca		10g RAC only
vmq*		Not in 10g
vppcntl	Oracle Data Gatherer Executable	"Control utility for the Data Gatherer" (marty.grinstead at oracle.com). Not in 9i
vppdc	Oracle Intelligent Agent Executable	"Data Gatherer - collects data for Performance Manager and Capacity Planner" (marty.grinstead at oracle.com). Not in 9i
vtushell*		Not in 10g
wrap	PL/SQL code Wrapper	Used to encrypt code to protect source code. Until 10g, string literals are not protected; "Hello world!" will be shown as "1Hello world!" in xxx_SOURCE. Also see Pete Finnigan's unwrapper.
xml		
xmlcg		
xpautune*		Not in 10g
xpcoin*		Not in 10g
xpksh*		Not in 10g
xpui*		Not in 10g
xsl		10g
xsql		
xsqlproxy*		
xvm		10g
zip	Zip	Compression tool, the same as under /usr/bin (if on *NIX)

From 11g on, I no longer add new entries to the above table. Instead, a separate table is created for each version. Again, only interesting comments are made.

Mostly based on binaries in $ORACLE_HOME/bin on x86_64 Red Hat Enterprise Linux 5.3 running Oracle 11.2.0.1.0 RAC, supplemented with 11.2.0.2.0.
adrci	Automatic Diagnostic Repository Command Interpreter	See numerous articles in documentation, and its Incident Packaging Service (IPS) in Note:738732.1
amdu	ASM Metadata Dump Utility	Creates amdu_time/report.txt for ASM disk usage. Get help by amdu help=y. Ref: 1485597.1.
aqxmlctl	AQ XML Control	See Deploying the Oracle Database XML Servlet
bndlchk	Bundle Check	Shell script to check what libvns contains to determine if you have Enterprise Edition or Standard Edition installed. Run ls -l $ORACLE_HOME/install/.ee $ORACLE_HOME/install/.std after you run this script to see which file was created.
chopt	Change Option	Shell script to call chopt.pl to enable or disable optional components (as seen in v$option). See chopt.ini for detailed make commands to change these options
cluvfy	Cluster Verification
commonenv	Common Environment	Seems for EM only
crsdiag.pl	CRS Diagnostics	Creates gzipped tar files for OCR, OS and CRS data to send to Oracle support. Run as root
db2gc		Script to configure Oracle EM dbconsole mode for a software only install
dbfs_client	DBFS Client	Using the DBFS Command Interface
dg4odbc	Database Gateway for ODBC	Configure Oracle Net Listener for the Gateway
diagsetup	11g installation Diag Setup	See Note:818727.1 for usage
diskmon.bin	I/O Fencing and SKGXP HA monitoring daemon	Logs are at $CRS_HOME/log/`hostname -s`/diskmon
dsml2ldif	Directory Services Mark-up Language to LDIF conversion	
dvca	Database Vault Configuration Assistant	
emdwgrd	Enterprise Manager Downgrade	Note 883855.1
eusm	Enterprise User Security Manager	
extjob	External Job Process on UNIX/Linux	
genorasdksh	Shell script to Generate Oracle SDK	Creates $ORACLE_HOME/lib/liborasdk.so*
gnsd	Grid Naming Service Daemon	No need to use it
jssu	Job Scheduler su	Note:976049.1: "Jssu is called by the dbms_scheduler when credentials are used". User RnR in msg 11 of this thread shows one usage.
mkpatch	Make Patch	Creates a patch file
olsnodes	Oracle List Nodes	The new -t option shows whether you pinned the node with crsctl pin css -n (used when pre-10g database is installed with 11g clusterware), and -c shows the clustername.
orabase	Oracle Base	Returns ORACLE_BASE; first appears in 11gR1; checks ORACLE_BASE in $ORACLE_HOME/inventory/ContentsXML/oraclehomeproperties.xml on UNIX/Linux (Ref)
orion	Oracle IO Numbers	I/O benchmark tool. Type orion -help for help
pafctl	Provisioning Advisor Framework Control	Control the provisioning daemon (Ref)
platform_common`	Platform Common	"Script to export platform specific variables", called by dbca, dbua, netca, rconfig (RAC config tool).
plshprof	PL/SQL Hotspot Profiler	Note:763944.1 and Documentation
racgeut	?	Looks like a command execution wrapper. Usage: racgeut [-e environment_setting] timeout command. Try racgeut -e A=B 30 /bin/sleep 20 &, followed by ps eww $!. You'll see the added environment variable and assigned value A=B. You can add more environment variables with more "-e name=value" strings.
racgmain	RAC Global Main script	It's better to run it with racgwrap. You're supposed to be able to run it to check resource status (not recommended, documented way preferred, e.g. srvctl|crsctl status): racgmain resource_full_name check, followed by echo $?, and read $ORACLE_HOME/log/`hostname -s`/racg/resourcename.log. But 11gR2 seems to miss the required racgimon so it always throws error.
racgwrap	RAC Global Wrapper script	Wrapper for racgmain. Control tracing by passing _USR_ORA_DEBUG to racgmain (see above).
renamedg	Raname Disk Group	New in 11gR2. See Note:948040.1 for usage.
setasmgid	Set ASM Group ID	Ref
skgxpinfo	OS Kernel Generic Inter-Process-communication Info	New in 11.2.0.2. Returns IPC protocol, udp by default
srvconfig	Server Config	Before 11gR2, you can get some config info about server and database components: srvconfig -exp tmpfile. Beginning with 11gR2, it's only used during upgrade and downgrade of a database. See Note:953769.1.
srvctl	Server Control	Generally, only used if RAC CRS is running, not used even if ASM is running. Ref
trcsess	Trace Sessions	Enable SQL trace from command line
uidrvci	?	ADR related. E.g., uidrvci /u01/app/oracle/diag/rdbms/db_name/instance_name/trace getSchema INC_METER_SUMMARY, where INC_METER_SUMMARY is an .ams file under the trace/metadata subdir of the directory in the second arg. This getSchema command shows the table definition of v$incmeter_summary (summary of incident meters). Not sure what use this command really has.
wrc	Workload Replay Client	Documentation, Note:445116.1, Note:748895.1.
xmlwf	XML Well-Formedness check	An extra copy of standard UNIX/Linux command (just like unzip)
Binaries newly found on Oracle 11.2.0.3.0 RAC are as follows. All em*, EM* and *.pm files are ignored.
acfsroot	Install or uninstall USM (ACFS's old name) components
agentok.sh	Determine if adequate resources (e.g. swap space) are available for agent
aqxmlctl.pl	Start and stop aqxml access (isqlplus server), called by shell script aqxmlctl
asmcmd	Previously only in ${ASM ORACLE_HOME}/bin. Now in ${DB ORACLE_HOME}/bin too. When to use?
asmcmdcore	core of asmcmd
chopt.ini	init file used for changing database options (as seen in v$option), by chopt
chopt.pl	Invoked by chopt (shell script) or chopt.bat to change (disable or enable) optional components
cluvfyrac.sh	Wrapper script to invoke cluvfy launcher from CRS_HOME
commonenv.template	Template for commonenv
dbgeu_run_action.pl	Diagnostic workBench Generic ddE User actions - RUN ACTION, used by DDE User Actions to capture the output of external commands
deploymentLibraryExport.sh
deploymentLibraryImport.sh	EM software library
dg4pwd	Oracle Gateway Password Utility
findAvailableSpace.pl	Used by EM to run opatch or dbca etc. to find available filesystem free space
linkshlib	Link Shared Library, not sure what calls it, needs 5 arguments
netca_deinst.sh	Run netca in deinstall mode
nmhs	"nmhs is used by the storage_report_metrics.pl which runs once every 24 hours by default. This script is querying the OS about various devices and mount points." (Ref). You can get usage by sudo strings nmhs | grep Usage
nmosudo	EM sudo utility, Ref
ojmxtool	EM related. Get usage by running EMDROOT=EMD_Root_dir ovmxtool
ojvmtc	Same. Get usage by ojvmtc -help
omsdown.pl, omsstart.pl, omsstop.pl	OMS related
racgwrap.sbs	Almost the same as racgwrap
setsso.pl	Setup Single Sign-On for EM console
StartAgent.pl	Start EM agent
targetdeploy.pl	Deploy EM targets
Binaries newly found on Oracle 12.1.0.1.0 RAC are as follows.
afdroot	Related to ASM Filter Driver
oerr.pl	Oracle 12c for Windows has finally shipped Windows oerr. See "Update 2013-08" of my Windows oerr for Oracle for details.
okaroot	Related to Oracle Kernel Accelerator
orald	Just gcc
patchgen	Patch Generator, Ref
xmldiff	Ref
xmlpatch	Ref
Binaries newly found on Oracle 12.1.0.2.0 are as follows.
afdboot, afddriverstate, afdtool, afdtool.bin	Related to ASM Filter Driver
kfod.bin	kfod is now a shell script calling this binary
oraping	Probably just a wrapper of ping -c 1 -s 8000 -w 1 -I interface -W timeout address_to_ping
trcldr	Trace Loader: Finally this file is no longer 0 size but is still undocumented. It can be used to analyze the KST trace files in cdmp_time directory. Syntax: trcldr mode=append ifile=trw_file userid=scott/tiger. It creates (if not exist) kst_traces table (similar to x$trace) and loads it with trw file content. Ref: Jack Cai; my preliminary work.

Relevant Links

Dave Moore's Oracle Utilities
PSOUG's Oracle Utilities Version 10.2
